START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.10.0
CONTEST: REF-SSB
LOCATION: 21
CALLSIGN: F6KQL
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: CLUB
CLAIMED-SCORE: 367488
OPERATORS: F4CQD, F4HCO, F4HCP, F4HGK 
CLUB: F6KQL
NAME: Club radioamateur de la MJC
SOAPBOX: 
RIG: TS-440S, 100 Watts
RIG: Levy 2 x 20 mètres + 3 éléments Yagi
QSO: 14000 PH 2014-02-22 1303 F6KQL         59  21     F6KHM         59  29    
QSO: 14000 PH 2014-02-22 1310 F6KQL         59  21     EA8TH         59  225   
QSO: 14000 PH 2014-02-22 1330 F6KQL         59  21     DL5YM         59  116   
QSO: 14000 PH 2014-02-22 1337 F6KQL         59  21     F4DPW         59  95    
QSO: 14000 PH 2014-02-22 1343 F6KQL         59  21     F8KIG         59  13    
QSO: 14000 PH 2014-02-22 1350 F6KQL         59  21     F4BDV         59  82    
QSO:  7000 PH 2014-02-22 1357 F6KQL         59  21     F5NYE         59  72    
QSO:  7000 PH 2014-02-22 1401 F6KQL         59  21     F2QH          59  95    
QSO:  7000 PH 2014-02-22 1403 F6KQL         59  21     F4FUB         59  80    
QSO:  7000 PH 2014-02-22 1404 F6KQL         59  21     F5DMD/P       59  58    
QSO:  7000 PH 2014-02-22 1406 F6KQL         59  21     F5DJL         59  74    
QSO:  7000 PH 2014-02-22 1408 F6KQL         59  21     F8KGZ         59  54    
QSO:  7000 PH 2014-02-22 1416 F6KQL         59  21     F5IYJ         59  21    
QSO:  7000 PH 2014-02-22 1417 F6KQL         59  21     F8CSW         59  21    
QSO:  7000 PH 2014-02-22 1419 F6KQL         59  21     F4DDK         59  60    
QSO:  7000 PH 2014-02-22 1421 F6KQL         59  21     F5CPZ         59  21    
QSO:  7000 PH 2014-02-22 1423 F6KQL         59  21     F5PZR         59  77    
QSO:  7000 PH 2014-02-22 1424 F6KQL         59  21     TM5PU         59  81    
QSO:  7000 PH 2014-02-22 1426 F6KQL         59  21     F4GRL         59  31    
QSO:  7000 PH 2014-02-22 1428 F6KQL         59  21     F4LKJ         59  47    
QSO:  7000 PH 2014-02-22 1434 F6KQL         59  21     F4BVO         59  73    
QSO:  7000 PH 2014-02-22 1435 F6KQL         59  21     F5KLE         59  30    
QSO:  7000 PH 2014-02-22 1438 F6KQL         59  21     F4CPS         59  26    
QSO:  7000 PH 2014-02-22 1441 F6KQL         59  21     F1UGK         59  79    
QSO:  7000 PH 2014-02-22 1444 F6KQL         59  21     F6GPT         59  33    
QSO:  7000 PH 2014-02-22 1447 F6KQL         59  21     F8KFS         59  73    
QSO:  7000 PH 2014-02-22 1450 F6KQL         59  21     F4KIV/P       59  48    
QSO:  7000 PH 2014-02-22 1454 F6KQL         59  21     F6KTW         59  87    
QSO:  7000 PH 2014-02-22 1457 F6KQL         59  21     F6KCI         59  37    
QSO:  7000 PH 2014-02-22 1504 F6KQL         59  21     F9OE          59  29    
QSO:  7000 PH 2014-02-22 1509 F6KQL         59  21     F6CZQ         59  73    
QSO:  7000 PH 2014-02-22 1511 F6KQL         59  21     ON4JM         59  221   
QSO:  7000 PH 2014-02-22 1514 F6KQL         59  21     F9EW          59  77    
QSO:  7000 PH 2014-02-22 1521 F6KQL         59  21     F8KOH         59  27    
QSO:  7000 PH 2014-02-22 1526 F6KQL         59  21     F6KJG         59  10    
QSO:  7000 PH 2014-02-22 1533 F6KQL         59  21     F5KHP         59  32    
QSO:  7000 PH 2014-02-22 1546 F6KQL         59  21     F8KFJ         59  18    
QSO:  7000 PH 2014-02-22 1547 F6KQL         59  21     F1ISM         59  60    
QSO:  7000 PH 2014-02-22 1551 F6KQL         59  21     ON5GK         59  216   
QSO:  7000 PH 2014-02-22 1552 F6KQL         59  21     F5AGQ         59  81    
QSO:  7000 PH 2014-02-22 1554 F6KQL         59  21     F6KFI         59  72    
QSO:  7000 PH 2014-02-22 1555 F6KQL         59  21     F6KVD         59  55    
QSO:  7000 PH 2014-02-22 1608 F6KQL         59  21     F5LWF         59  51    
QSO:  7000 PH 2014-02-22 1615 F6KQL         59  21     F6IRM         59  52    
QSO:  7000 PH 2014-02-22 1617 F6KQL         59  21     F4PCM         59  84    
QSO:  7000 PH 2014-02-22 1623 F6KQL         59  21     F8GGO         59  95    
QSO:  7000 PH 2014-02-22 1626 F6KQL         59  21     F2JD          59  73    
QSO:  7000 PH 2014-02-22 1627 F6KQL         59  21     F4BTD         59  82    
QSO:  7000 PH 2014-02-22 1628 F6KQL         59  21     F6KJU         59  59    
QSO:  7000 PH 2014-02-22 1628 F6KQL         59  21     F5MFU         59  63    
QSO:  7000 PH 2014-02-22 1629 F6KQL         59  21     F1NNE         59  42    
QSO:  7000 PH 2014-02-22 1630 F6KQL         59  21     F8DCU         59  75    
QSO:  7000 PH 2014-02-22 1631 F6KQL         59  21     F6KOU         59  84    
QSO:  7000 PH 2014-02-22 1632 F6KQL         59  21     F6GNG         59  27    
QSO:  7000 PH 2014-02-22 1632 F6KQL         59  21     F1UDC         59  75    
QSO:  7000 PH 2014-02-22 1633 F6KQL         59  21     F4KIU         59  67    
QSO:  7000 PH 2014-02-22 1634 F6KQL         59  21     F8KHF         59  03    
QSO:  7000 PH 2014-02-22 1634 F6KQL         59  21     F1PIV         59  02    
QSO:  7000 PH 2014-02-22 1635 F6KQL         59  21     F6CQI         59  49    
QSO:  7000 PH 2014-02-22 1635 F6KQL         59  21     F6KUP         59  55    
QSO:  7000 PH 2014-02-22 1636 F6KQL         59  21     F4FPI         59  87    
QSO:  7000 PH 2014-02-22 1637 F6KQL         59  21     F9OJ          59  13    
QSO:  7000 PH 2014-02-22 1637 F6KQL         59  21     F6HOR         59  68    
QSO:  7000 PH 2014-02-22 1638 F6KQL         59  21     F4AOS         59  36    
QSO:  7000 PH 2014-02-22 1639 F6KQL         59  21     F6GCT         59  77    
QSO:  7000 PH 2014-02-22 1640 F6KQL         59  21     F4DDX         59  13    
QSO:  7000 PH 2014-02-22 1641 F6KQL         59  21     TM6D          59  38    
QSO:  7000 PH 2014-02-22 1642 F6KQL         59  21     HB9VID        59  053   
QSO:  7000 PH 2014-02-22 1642 F6KQL         59  21     F6KKH         59  11    
QSO:  7000 PH 2014-02-22 1643 F6KQL         59  21     F1UIJ/P       59  91    
QSO:  7000 PH 2014-02-22 1643 F6KQL         59  21     F5WN          59  40    
QSO:  7000 PH 2014-02-22 1644 F6KQL         59  21     F5ICC         59  24    
QSO:  7000 PH 2014-02-22 1644 F6KQL         59  21     F6AEW         59  53    
QSO:  7000 PH 2014-02-22 1645 F6KQL         59  21     F4GMW         59  77    
QSO:  7000 PH 2014-02-22 1646 F6KQL         59  21     TM54E/P       59  54    
QSO:  7000 PH 2014-02-22 1647 F6KQL         59  21     F6BNX         59  06    
QSO:  7000 PH 2014-02-22 1647 F6KQL         59  21     F4EHB         59  08    
QSO:  7000 PH 2014-02-22 1648 F6KQL         59  21     F1POG         59  03    
QSO:  7000 PH 2014-02-22 1648 F6KQL         59  21     F5TVG         59  94    
QSO:  7000 PH 2014-02-22 1649 F6KQL         59  21     F5MIW         59  19    
QSO:  7000 PH 2014-02-22 1650 F6KQL         59  21     F8KOU/P       59  23    
QSO:  7000 PH 2014-02-22 1651 F6KQL         59  21     F4AYI         59  72    
QSO:  7000 PH 2014-02-22 1651 F6KQL         59  21     F4ETT         59  58    
QSO:  7000 PH 2014-02-22 1651 F6KQL         59  21     F4KIO/P       59  35    
QSO:  7000 PH 2014-02-22 1652 F6KQL         59  21     F5BQV         59  56    
QSO:  7000 PH 2014-02-22 1654 F6KQL         59  21     TM400M        59  31    
QSO:  7000 PH 2014-02-22 1655 F6KQL         59  21     F1HGQ         59  30    
QSO:  7000 PH 2014-02-22 1655 F6KQL         59  21     F5HVI         59  50    
QSO:  7000 PH 2014-02-22 1656 F6KQL         59  21     F6CSX         59  13    
QSO:  7000 PH 2014-02-22 1657 F6KQL         59  21     F1MKC         59  87    
QSO:  7000 PH 2014-02-22 1658 F6KQL         59  21     F1SQK         59  87    
QSO:  7000 PH 2014-02-22 1658 F6KQL         59  21     F5ORB         59  24    
QSO:  7000 PH 2014-02-22 1659 F6KQL         59  21     F8BTF         59  03    
QSO:  7000 PH 2014-02-22 1659 F6KQL         59  21     F5DBX         59  31    
QSO:  7000 PH 2014-02-22 1701 F6KQL         59  21     F5LZN         59  84    
QSO:  7000 PH 2014-02-22 1701 F6KQL         59  21     F4BCG         59  91    
QSO:  7000 PH 2014-02-22 1701 F6KQL         59  21     F8GQO         59  81    
QSO:  7000 PH 2014-02-22 1702 F6KQL         59  21     F1USC         59  94    
QSO:  7000 PH 2014-02-22 1703 F6KQL         59  21     G8MM          59  071   
QSO:  7000 PH 2014-02-22 1704 F6KQL         59  21     F4GPJ         59  28    
QSO:  7000 PH 2014-02-22 1705 F6KQL         59  21     F1IWH         59  33    
QSO:  7000 PH 2014-02-22 1705 F6KQL         59  21     F6GTQ         59  40    
QSO:  7000 PH 2014-02-22 1707 F6KQL         59  21     F5JDH         59  03    
QSO:  7000 PH 2014-02-22 1708 F6KQL         59  21     F5VV          59  01    
QSO:  7000 PH 2014-02-22 1708 F6KQL         59  21     TM5K          59  24    
QSO:  7000 PH 2014-02-22 1708 F6KQL         59  21     F4JIL         59  52    
QSO:  7000 PH 2014-02-22 1709 F6KQL         59  21     F1ARV         59  76    
QSO:  7000 PH 2014-02-22 1710 F6KQL         59  21     F5ABV         59  02    
QSO:  7000 PH 2014-02-22 1711 F6KQL         59  21     F9NF          59  51    
QSO:  7000 PH 2014-02-22 1711 F6KQL         59  21     F5JU          59  35    
QSO:  7000 PH 2014-02-22 1712 F6KQL         59  21     G8HBS         59  013   
QSO:  7000 PH 2014-02-22 1713 F6KQL         59  21     F1FSU         59  50    
QSO:  3500 PH 2014-02-22 1729 F6KQL         59  21     F6KSM         59  12    
QSO:  3500 PH 2014-02-22 1731 F6KQL         59  21     F8ND          59  78    
QSO:  3500 PH 2014-02-22 1733 F6KQL         59  21     F1AXL         59  74    
QSO:  3500 PH 2014-02-22 1733 F6KQL         59  21     F5SXD         59  14    
QSO:  3500 PH 2014-02-22 1733 F6KQL         59  21     F1DLZ         59  60    
QSO:  3500 PH 2014-02-22 1735 F6KQL         59  21     F8FBB         59  31    
QSO:  3500 PH 2014-02-22 1737 F6KQL         59  21     F4GVP         59  67    
QSO:  3500 PH 2014-02-22 1738 F6KQL         59  21     F4ELD         59  08    
QSO:  3500 PH 2014-02-22 1742 F6KQL         59  21     TM6D          59  38    
QSO:  3500 PH 2014-02-22 1743 F6KQL         59  21     F8GGD         59  16    
QSO:  3500 PH 2014-02-22 1754 F6KQL         59  21     F1PBT         59  77    
QSO:  3500 PH 2014-02-22 1756 F6KQL         59  21     DG1EA         59  061   
QSO:  3500 PH 2014-02-22 1757 F6KQL         59  21     F5NUI         59  42    
QSO:  3500 PH 2014-02-22 1758 F6KQL         59  21     F6BAT         59  59    
QSO:  3500 PH 2014-02-22 1759 F6KQL         59  21     F4EDW         59  77    
QSO:  3500 PH 2014-02-22 1759 F6KQL         59  21     F5MSB         59  32    
QSO:  3500 PH 2014-02-22 1800 F6KQL         59  21     F6EYB         59  40    
QSO:  3500 PH 2014-02-22 1801 F6KQL         59  21     F1BOQ         59  26    
QSO:  3500 PH 2014-02-22 1801 F6KQL         59  21     F5NKP         59  92    
QSO:  3500 PH 2014-02-22 1803 F6KQL         59  21     F2MM/P        59  17    
QSO:  3500 PH 2014-02-22 1804 F6KQL         59  21     F5LBL         59  30    
QSO:  3500 PH 2014-02-22 1804 F6KQL         59  21     F5OWT         59  45    
QSO:  3500 PH 2014-02-22 1805 F6KQL         59  21     F8CSW         59  21    
QSO:  3500 PH 2014-02-22 1806 F6KQL         59  21     F1UGK         59  79    
QSO:  3500 PH 2014-02-22 1807 F6KQL         59  21     IK4UUJ        59  011   
QSO:  3500 PH 2014-02-22 1808 F6KQL         59  21     F8PDR         59  50    
QSO:  3500 PH 2014-02-22 1810 F6KQL         59  21     PA7PA         59  004   
QSO:  3500 PH 2014-02-22 1814 F6KQL         59  21     F6BSZ/P       59  14    
QSO:  3500 PH 2014-02-22 1815 F6KQL         59  21     F4FFS         59  45    
QSO:  3500 PH 2014-02-22 1816 F6KQL         59  21     F8KHO/P       59  51    
QSO:  3500 PH 2014-02-22 1817 F6KQL         59  21     F6FWQ         59  86    
QSO:  3500 PH 2014-02-22 1818 F6KQL         59  21     F8TMQ         59  38    
QSO:  3500 PH 2014-02-22 1818 F6KQL         59  21     F6ICG         59  89    
QSO:  3500 PH 2014-02-22 1819 F6KQL         59  21     F5KDY/P       59  28    
QSO:  3500 PH 2014-02-22 1819 F6KQL         59  21     F5ILB         59  44    
QSO:  3500 PH 2014-02-22 1820 F6KQL         59  21     F4EWU         59  07    
QSO:  3500 PH 2014-02-22 1820 F6KQL         59  21     F6CLQ         59  89    
QSO:  3500 PH 2014-02-22 1821 F6KQL         59  21     F5JDH         59  03    
QSO:  3500 PH 2014-02-22 1822 F6KQL         59  21     DF1JC         59  005   
QSO:  3500 PH 2014-02-22 1823 F6KQL         59  21     F6KFI         59  72    
QSO:  3500 PH 2014-02-22 1824 F6KQL         59  21     F8KHI         59  42    
QSO:  3500 PH 2014-02-22 1825 F6KQL         59  21     DL8UAA        59  031   
QSO:  3500 PH 2014-02-22 1826 F6KQL         59  21     F5KLE         59  30    
QSO:  3500 PH 2014-02-22 1826 F6KQL         59  21     TM5PU         59  81    
QSO:  3500 PH 2014-02-22 1827 F6KQL         59  21     F4KIU         59  67    
QSO:  3500 PH 2014-02-22 1827 F6KQL         59  21     F4JIL         59  52    
QSO:  3500 PH 2014-02-22 1829 F6KQL         59  21     DO8ABS        59  004   
QSO:  3500 PH 2014-02-22 1832 F6KQL         59  21     F5UIN         59  88    
QSO:  3500 PH 2014-02-22 1833 F6KQL         59  21     F6ERL         59  06    
QSO:  3500 PH 2014-02-22 1833 F6KQL         59  21     F4FFZ         59  56    
QSO:  3500 PH 2014-02-22 1834 F6KQL         59  21     F8KOU/P       59  23    
QSO:  3500 PH 2014-02-22 1834 F6KQL         59  21     F8CGM         59  49    
QSO:  3500 PH 2014-02-22 1837 F6KQL         59  21     DL1FMK        59  078   
QSO:  3500 PH 2014-02-22 1840 F6KQL         59  21     F4EDN         59  12    
QSO:  3500 PH 2014-02-22 1841 F6KQL         59  21     F5AAR         59  49    
QSO:  3500 PH 2014-02-22 1843 F6KQL         59  21     F8FY          59  83    
QSO:  3500 PH 2014-02-22 1847 F6KQL         59  21     F1BOW         59  57    
QSO:  3500 PH 2014-02-22 1849 F6KQL         59  21     F6KNB         59  33    
QSO:  3500 PH 2014-02-22 1855 F6KQL         59  21     F6EKJ         59  21    
QSO:  3500 PH 2014-02-22 1856 F6KQL         59  21     F5QF          59  77    
QSO:  3500 PH 2014-02-22 1902 F6KQL         59  21     F5OHM         59  36    
QSO:  3500 PH 2014-02-22 1909 F6KQL         59  21     F6KEH         59  34    
QSO:  3500 PH 2014-02-22 1911 F6KQL         59  21     F4GLK         59  60    
QSO:  3500 PH 2014-02-22 1914 F6KQL         59  21     F5GFA         59  47    
QSO:  3500 PH 2014-02-22 1919 F6KQL         59  21     F4FTA         59  21    
QSO:  3500 PH 2014-02-22 1921 F6KQL         59  21     F6APE         59  49    
QSO:  3500 PH 2014-02-22 1922 F6KQL         59  21     F5KMB/P       59  60    
QSO:  3500 PH 2014-02-22 1924 F6KQL         59  21     F5AMH         59  41    
QSO:  3500 PH 2014-02-22 1928 F6KQL         59  21     F2QH          59  95    
QSO:  3500 PH 2014-02-22 1934 F6KQL         59  21     F4FRQ         59  90    
QSO:  3500 PH 2014-02-22 1936 F6KQL         59  21     TM11WAP       59  42    
QSO:  3500 PH 2014-02-22 1941 F6KQL         59  21     F5SUL         59  44    
QSO:  3500 PH 2014-02-22 1943 F6KQL         59  21     F8KIG         59  13    
QSO:  3500 PH 2014-02-22 1945 F6KQL         59  21     F8KCF         59  74    
QSO:  3500 PH 2014-02-22 1948 F6KQL         59  21     F8KHP         59  88    
QSO:  3500 PH 2014-02-22 1950 F6KQL         59  21     DL5YM         59  395   
QSO:  3500 PH 2014-02-22 1951 F6KQL         59  21     F5KCH         59  58    
QSO:  3500 PH 2014-02-22 1954 F6KQL         59  21     F1SKH/P       59  54    
QSO:  3500 PH 2014-02-22 1955 F6KQL         59  21     F8KFS         59  73    
QSO:  3500 PH 2014-02-22 1958 F6KQL         59  21     F1NVX         59  91    
QSO:  3500 PH 2014-02-22 2001 F6KQL         59  21     F5ADE         59  36    
QSO:  3500 PH 2014-02-22 2002 F6KQL         59  21     F4FHY         59  90    
QSO:  3500 PH 2014-02-22 2007 F6KQL         59  21     F4KIO/P       59  35    
QSO:  3500 PH 2014-02-22 2012 F6KQL         59  21     F4FGY         59  79    
QSO:  3500 PH 2014-02-22 2026 F6KQL         59  21     TM5K          59  24    
QSO:  3500 PH 2014-02-22 2030 F6KQL         59  21     F1NZC         59  63    
QSO:  3500 PH 2014-02-22 2034 F6KQL         59  21     F5CDE         59  78    
QSO:  3500 PH 2014-02-22 2035 F6KQL         59  21     F5RJW         59  71    
QSO:  3500 PH 2014-02-22 2039 F6KQL         59  21     F4DJG         59  76    
QSO:  3500 PH 2014-02-22 2041 F6KQL         59  21     F6DZU         59  40    
QSO:  3500 PH 2014-02-22 2043 F6KQL         59  21     F8KGZ         59  54    
QSO:  3500 PH 2014-02-22 2049 F6KQL         59  21     F4BDV         59  82    
QSO:  3500 PH 2014-02-22 2050 F6KQL         59  21     F6DYX         59  49    
QSO:  3500 PH 2014-02-22 2054 F6KQL         59  21     F4DSK         59  45    
QSO:  3500 PH 2014-02-22 2103 F6KQL         59  21     F5LIW         59  21    
QSO:  3500 PH 2014-02-22 2107 F6KQL         59  21     F6CQI         59  49    
QSO:  3500 PH 2014-02-22 2115 F6KQL         59  21     F4FUB         59  80    
QSO:  3500 PH 2014-02-22 2116 F6KQL         59  21     F6REF         59  00    
QSO:  3500 PH 2014-02-22 2117 F6KQL         59  21     F5KOK         59  86    
QSO:  3500 PH 2014-02-22 2122 F6KQL         59  21     F6DEO         59  95    
QSO:  3500 PH 2014-02-22 2125 F6KQL         59  21     F5MUX         59  29    
QSO:  3500 PH 2014-02-22 2134 F6KQL         59  21     F6KKA         59  30    
QSO:  3500 PH 2014-02-22 2138 F6KQL         59  21     F5ROB         59  87    
QSO:  3500 PH 2014-02-22 2139 F6KQL         59  21     F5KED         59  36    
QSO:  3500 PH 2014-02-22 2150 F6KQL         59  21     F6KUP         59  55    
QSO:  3500 PH 2014-02-22 2152 F6KQL         59  21     M1ACB         59  018   
QSO:  3500 PH 2014-02-22 2153 F6KQL         59  21     F8DFT         59  68    
QSO:  3500 PH 2014-02-22 2154 F6KQL         59  21     F8KHW         59  62    
QSO:  3500 PH 2014-02-22 2156 F6KQL         59  21     F5SEP         59  65    
QSO:  3500 PH 2014-02-22 2156 F6KQL         59  21     F6CZQ         59  73    
