START-OF-LOG: 3.0
CONTEST: REF-CW
CALLSIGN: EA8/HB9FIH
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
CLAIMED-SCORE: 15960
CREATED-BY: UcxLog 7.71
OPERATORS: HB9FIH
NAME: Erich Rieder
SOAPBOX: Nice Contest, like it. Also French OM's listend very well.
SOAPBOX: I was surprised that most active band was 15m for me
SOAPBOX: Then 40m / 20m and few 80m
SOAPBOX: TNX if ever possible see 2018
QSO:  3500 CW 2017-01-28 0710 EA8/HB9FIH    599 001    F6KNB         599 33
QSO:  3500 CW 2017-01-28 0714 EA8/HB9FIH    599 002    F6KSM         599 29
QSO:  3500 CW 2017-01-28 0725 EA8/HB9FIH    599 003    F5VHY         599 47
QSO:  7000 CW 2017-01-28 0856 EA8/HB9FIH    599 004    F5IN          599 45
QSO: 14000 CW 2017-01-28 1019 EA8/HB9FIH    599 005    F5IAE         599 17
QSO: 14000 CW 2017-01-28 1020 EA8/HB9FIH    599 006    F5OHM         599 36
QSO: 14000 CW 2017-01-28 1026 EA8/HB9FIH    599 007    F5KMB         599 60
QSO: 14000 CW 2017-01-28 1038 EA8/HB9FIH    599 008    F6KJJ         599 38
QSO: 14000 CW 2017-01-28 1040 EA8/HB9FIH    599 009    F6REF         599 00
QSO: 14000 CW 2017-01-28 1043 EA8/HB9FIH    599 010    F8FUA         599 14
QSO: 21000 CW 2017-01-28 1105 EA8/HB9FIH    599 011    TM2A          599 77
QSO: 21000 CW 2017-01-28 1120 EA8/HB9FIH    599 012    F6KSM         599 29
QSO: 21000 CW 2017-01-28 1313 EA8/HB9FIH    599 013    FY5KE         599 FY
QSO: 21000 CW 2017-01-28 1331 EA8/HB9FIH    599 014    F6FDR         599 84
QSO: 21000 CW 2017-01-28 1334 EA8/HB9FIH    599 015    FG/F5HRY      599 FG
QSO: 21000 CW 2017-01-28 1338 EA8/HB9FIH    599 016    F4WBN         599 64
QSO: 21000 CW 2017-01-28 1346 EA8/HB9FIH    599 017    F5KMB         599 60
QSO: 21000 CW 2017-01-28 1353 EA8/HB9FIH    599 018    TM5OTT        599 37
QSO: 21000 CW 2017-01-28 1415 EA8/HB9FIH    599 019    F6KPQ         599 56
QSO: 21000 CW 2017-01-28 1431 EA8/HB9FIH    599 020    F5NKX         599 50
QSO: 21000 CW 2017-01-28 1444 EA8/HB9FIH    599 021    F2GL          599 89
QSO: 21000 CW 2017-01-28 1452 EA8/HB9FIH    599 022    F6HEO/P       599 58
QSO: 21000 CW 2017-01-28 1454 EA8/HB9FIH    599 023    F5NBX         599 87
QSO: 21000 CW 2017-01-28 1456 EA8/HB9FIH    599 024    F5CQ          599 35
QSO: 21000 CW 2017-01-28 1501 EA8/HB9FIH    599 025    F6KNB         599 33
QSO: 21000 CW 2017-01-28 1504 EA8/HB9FIH    599 026    F6KLO         599 19
QSO: 21000 CW 2017-01-28 1526 EA8/HB9FIH    599 027    F5UTN         599 27
QSO: 21000 CW 2017-01-28 1529 EA8/HB9FIH    599 028    F6KRK         599 78
QSO: 21000 CW 2017-01-28 1531 EA8/HB9FIH    599 029    F4KIO         599 35
QSO: 21000 CW 2017-01-28 1535 EA8/HB9FIH    599 030    F5PYJ         599 44
QSO: 21000 CW 2017-01-28 1539 EA8/HB9FIH    599 031    F5KEQ         599 44
QSO: 21000 CW 2017-01-28 1547 EA8/HB9FIH    599 032    F8AAN         599 33
QSO: 21000 CW 2017-01-28 1558 EA8/HB9FIH    599 033    F6HPP         599 02
QSO: 21000 CW 2017-01-28 1603 EA8/HB9FIH    599 034    F2YT          599 62
QSO: 21000 CW 2017-01-28 1605 EA8/HB9FIH    599 035    F5VHY         599 47
QSO: 21000 CW 2017-01-28 1612 EA8/HB9FIH    599 036    F6DEO         599 95
QSO: 21000 CW 2017-01-28 1630 EA8/HB9FIH    599 037    FG4KH         599 FG
QSO: 14000 CW 2017-01-28 1735 EA8/HB9FIH    599 038    FG/F5HRY      599 FG
QSO: 14000 CW 2017-01-28 1744 EA8/HB9FIH    599 039    F6KLO         599 19
QSO: 14000 CW 2017-01-28 1747 EA8/HB9FIH    599 040    F6HEO/P       599 58
QSO:  7000 CW 2017-01-28 1758 EA8/HB9FIH    599 041    F5NBX         599 87
QSO:  7000 CW 2017-01-28 1809 EA8/HB9FIH    599 042    F6EYB         599 40
QSO:  7000 CW 2017-01-28 1813 EA8/HB9FIH    599 043    F6CEL/P       599 51
QSO:  7000 CW 2017-01-28 1815 EA8/HB9FIH    599 044    TM1A          599 77
QSO:  7000 CW 2017-01-28 1917 EA8/HB9FIH    599 045    F4WDN         599 64
QSO:  7000 CW 2017-01-28 1922 EA8/HB9FIH    599 046    F5VHY         599 47
QSO:  7000 CW 2017-01-28 1931 EA8/HB9FIH    599 047    F5XX          599 81
QSO:  7000 CW 2017-01-28 2044 EA8/HB9FIH    599 048    TM8CIL        599 03
QSO:  7000 CW 2017-01-28 2059 EA8/HB9FIH    599 049    F5MLJ         599 41
QSO:  7000 CW 2017-01-28 2106 EA8/HB9FIH    599 050    F5PYJ         599 44
