START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: LZ2PS
CLUB:  
CONTEST: REF-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 20M
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 15390
OPERATORS: LZ2PS
NAME: Stefan Getsov
CREATED-BY: N1MM Logger+ 1.0.7268.0
QSO: 14010 CW 2020-01-25 0908 LZ2PS         599 0001   F6REF         599 00       
QSO: 14010 CW 2020-01-25 0911 LZ2PS         599 0002   F8ATS         599 91       
QSO: 14010 CW 2020-01-25 0912 LZ2PS         599 0003   F6DYX         599 49       
QSO: 14010 CW 2020-01-25 0913 LZ2PS         599 0004   F6AUS         599 79       
QSO: 14010 CW 2020-01-25 0915 LZ2PS         599 0005   F5MUX         599 29       
QSO: 14010 CW 2020-01-25 0916 LZ2PS         599 0006   F8KLY         599 69       
QSO: 14010 CW 2020-01-25 0917 LZ2PS         599 0007   F8AEE         599 10       
QSO: 14010 CW 2020-01-25 0919 LZ2PS         599 0008   F5PCV         599 62       
QSO: 14010 CW 2020-01-25 0920 LZ2PS         599 0009   F8KGS         599 59       
QSO: 14010 CW 2020-01-25 0922 LZ2PS         599 0010   F5OYM         599 81       
QSO: 14010 CW 2020-01-25 0926 LZ2PS         599 0011   F6IQE         599 71       
QSO: 14010 CW 2020-01-25 0927 LZ2PS         599 0012   F5NKX         599 50       
QSO: 14010 CW 2020-01-25 0929 LZ2PS         599 0013   F6BBQ         599 59       
QSO: 14010 CW 2020-01-25 0930 LZ2PS         599 0014   F5IN          599 45       
QSO: 14010 CW 2020-01-25 0932 LZ2PS         599 0015   F4CWN         599 32       
QSO: 14010 CW 2020-01-25 0933 LZ2PS         599 0016   F6BCW         599 71       
QSO: 14010 CW 2020-01-25 0935 LZ2PS         599 0017   F6FTB         599 21       
QSO: 14010 CW 2020-01-25 0937 LZ2PS         599 0018   TM8SN         599 15       
QSO: 14010 CW 2020-01-25 0938 LZ2PS         599 0019   TM55M         599 55       
QSO: 14010 CW 2020-01-25 0940 LZ2PS         599 0020   F5KFL         599 86       
QSO: 14010 CW 2020-01-25 0943 LZ2PS         599 0021   F5NBX         599 87       
QSO: 14010 CW 2020-01-25 0945 LZ2PS         599 0022   F6KDL         599 68       
QSO: 14010 CW 2020-01-25 0948 LZ2PS         599 0023   F5OHM         599 36       
QSO: 14010 CW 2020-01-25 0955 LZ2PS         599 0024   F6APE         599 49       
QSO: 14010 CW 2020-01-25 1020 LZ2PS         599 0025   F6FWQ         599 86       
QSO: 14010 CW 2020-01-25 1021 LZ2PS         599 0026   F8FSN         599 84       
QSO: 14010 CW 2020-01-25 1023 LZ2PS         599 0027   F1ICS         599 33       
QSO: 14010 CW 2020-01-25 1026 LZ2PS         599 0028   F6GNZ         599 78       
QSO: 14010 CW 2020-01-25 1028 LZ2PS         599 0029   F5KDK         599 13       
QSO: 14010 CW 2020-01-25 1030 LZ2PS         599 0030   F6BUL         599 74       
QSO: 14010 CW 2020-01-25 1032 LZ2PS         599 0031   TM4K          599 03       
QSO: 14010 CW 2020-01-25 1033 LZ2PS         599 0032   F5ORB         599 24       
QSO: 14010 CW 2020-01-25 1034 LZ2PS         599 0033   F5UTN         599 27       
QSO: 14010 CW 2020-01-25 1035 LZ2PS         599 0034   F5KOU         599 80       
QSO: 14010 CW 2020-01-25 1036 LZ2PS         599 0035   F4HQZ         599 29       
QSO: 14010 CW 2020-01-25 1036 LZ2PS         599 0036   F6KJX         599 41       
QSO: 14010 CW 2020-01-25 1055 LZ2PS         599 0037   F6KCS         599 41       
QSO: 14010 CW 2020-01-25 1058 LZ2PS         599 0038   F5KHP         599 32       
QSO: 14010 CW 2020-01-25 1102 LZ2PS         599 0039   F1IWH         599 33       
QSO: 14010 CW 2020-01-25 1103 LZ2PS         599 0040   F8TMQ         599 38       
QSO: 14010 CW 2020-01-25 1103 LZ2PS         599 0041   F6CLN         599 31       
QSO: 14010 CW 2020-01-25 1106 LZ2PS         599 0042   F5VHP         599 35       
QSO: 14010 CW 2020-01-25 1109 LZ2PS         599 0043   F5PHY         599 24       
QSO: 14010 CW 2020-01-25 1126 LZ2PS         599 0044   F6KNB         599 33       
QSO: 14010 CW 2020-01-25 1129 LZ2PS         599 0045   F5KMB         599 60       
QSO: 14010 CW 2020-01-25 1132 LZ2PS         599 0046   F6GOE         599 19       
QSO: 14010 CW 2020-01-25 1133 LZ2PS         599 0047   F6BYZ         599 32       
QSO: 14010 CW 2020-01-25 1141 LZ2PS         599 0048   F8KCF         599 74       
QSO: 14010 CW 2020-01-25 1147 LZ2PS         599 0049   F8KGW         599 35       
QSO: 14010 CW 2020-01-25 1149 LZ2PS         599 0050   F6BMS         599 92       
QSO: 14010 CW 2020-01-25 1158 LZ2PS         599 0051   F6KRK         599 78       
QSO: 14010 CW 2020-01-25 1159 LZ2PS         599 0052   F6KJJ         599 38       
QSO: 14010 CW 2020-01-25 1200 LZ2PS         599 0053   F6DCQ         599 74       
QSO: 14010 CW 2020-01-25 1208 LZ2PS         599 0054   TM0DX         599 38       
QSO: 14010 CW 2020-01-25 1210 LZ2PS         599 0055   F8DGY         599 77       
QSO: 14010 CW 2020-01-25 1211 LZ2PS         599 0056   F6KBF         599 78       
QSO: 14010 CW 2020-01-25 1214 LZ2PS         599 0057   FY5KE         599 FY       
QSO: 14010 CW 2020-01-25 1217 LZ2PS         599 0058   F6KLO         599 19       
QSO: 14010 CW 2020-01-25 1225 LZ2PS         599 0059   F6KQL         599 21       
QSO: 14010 CW 2020-01-25 1226 LZ2PS         599 0060   F5UMP         599 59       
QSO: 14010 CW 2020-01-25 1231 LZ2PS         599 0061   F6IIT         599 86       
QSO: 14010 CW 2020-01-25 1233 LZ2PS         599 0062   F4KKV         599 53       
QSO: 14010 CW 2020-01-25 1238 LZ2PS         599 0063   F5RAB         599 28       
QSO: 14010 CW 2020-01-25 1251 LZ2PS         599 0064   F5CT          599 61       
QSO: 14010 CW 2020-01-25 1253 LZ2PS         599 0065   F6FYA         599 37       
QSO: 14010 CW 2020-01-25 1255 LZ2PS         599 0066   F6KPQ         599 56       
QSO: 14010 CW 2020-01-25 1301 LZ2PS         599 0067   F8GGZ         599 23       
QSO: 14010 CW 2020-01-25 1303 LZ2PS         599 0068   TM5G          599 44       
QSO: 14010 CW 2020-01-25 1304 LZ2PS         599 0069   F5MXQ         599 81       
QSO: 14010 CW 2020-01-25 1306 LZ2PS         599 0070   F6AWU         599 44       
QSO: 14010 CW 2020-01-25 1308 LZ2PS         599 0071   F6KMB         599 59       
QSO: 14010 CW 2020-01-25 1311 LZ2PS         599 0072   F6DWX         599 01       
QSO: 14010 CW 2020-01-25 1316 LZ2PS         599 0073   F4KLR         599 62       
QSO: 14010 CW 2020-01-25 1318 LZ2PS         599 0074   F6BHI         599 19       
QSO: 14010 CW 2020-01-25 1321 LZ2PS         599 0075   F6CEL         599 02       
QSO: 14010 CW 2020-01-25 1323 LZ2PS         599 0076   F8ATM         599 81       
QSO: 14010 CW 2020-01-25 1324 LZ2PS         599 0077   F5XX          599 81       
QSO: 14010 CW 2020-01-25 1327 LZ2PS         599 0078   F5IAE         599 18       
QSO: 14010 CW 2020-01-25 1328 LZ2PS         599 0079   F5VHY         599 47       
QSO: 14010 CW 2020-01-25 1331 LZ2PS         599 0080   F5VV          599 01       
QSO: 14010 CW 2020-01-25 1333 LZ2PS         599 0081   TM69R         599 69       
QSO: 14010 CW 2020-01-25 1334 LZ2PS         599 0082   F6FNA         599 77       
QSO: 14010 CW 2020-01-25 1335 LZ2PS         599 0083   F4EZC         599 44       
QSO: 14010 CW 2020-01-25 1336 LZ2PS         599 0084   F6GLZ         599 68       
QSO: 14010 CW 2020-01-25 1337 LZ2PS         599 0085   F8DRE         599 28       
QSO: 14010 CW 2020-01-25 1338 LZ2PS         599 0086   F6EQZ         599 51       
QSO: 14010 CW 2020-01-25 1339 LZ2PS         599 0087   F4CVQ         599 88       
QSO: 14010 CW 2020-01-25 1340 LZ2PS         599 0088   F6DRA         599 81       
QSO: 14010 CW 2020-01-25 1344 LZ2PS         599 0089   F6CZV/P       599 29       
QSO: 14010 CW 2020-01-25 1347 LZ2PS         599 0090   F5JDH         599 03       
QSO: 14010 CW 2020-01-25 1348 LZ2PS         599 0091   F5HTK         599 31       
QSO: 14010 CW 2020-01-25 1350 LZ2PS         599 0092   F5LZN         599 84       
QSO: 14010 CW 2020-01-25 1358 LZ2PS         599 0093   F4KIP         599 57       
QSO: 14010 CW 2020-01-25 1400 LZ2PS         599 0094   F1DUZ         599 49       
