START-OF-LOG: 3.0
CONTEST: SAC-SSB
CALLSIGN: SM6USS
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
OPERATORS: SM6USS
CLUB: SK6AW HISINGENS RADIO KLUBB
CLAIMED-SCORE: 4247
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CATEGORY-MODE: SSB
NAME: Dennis  Hallongren
SOAPBOX: was activ for a few hours only. 73 de dennis
QSO: 14000 PH 2021-10-09 1912 SM6USS        59       1 PV2K          59     154 0
QSO: 14000 PH 2021-10-09 1913 SM6USS        59       2 KH4HGG        59      19 0
QSO: 14000 PH 2021-10-09 1914 SM6USS        59       3 VE2BR         59      29 0
QSO: 14000 PH 2021-10-09 1920 SM6USS        59       4 WX4G          59     158 0
QSO: 14000 PH 2021-10-09 1921 SM6USS        59       5 IZ6IXC        59      27 0
QSO: 14000 PH 2021-10-09 1924 SM6USS        59       6 KB2SXT        59      20 0
QSO: 14000 PH 2021-10-09 1925 SM6USS        59       7 K8GL          59       5 0
QSO: 14000 PH 2021-10-09 1929 SM6USS        59       8 VE3TM         59      59 0
QSO: 14000 PH 2021-10-09 1932 SM6USS        59       9 KA8Q          59      38 0
QSO: 14000 PH 2021-10-09 1933 SM6USS        59      10 IT9FRX        59     163 0
QSO: 14000 PH 2021-10-09 1938 SM6USS        59      11 VE2YJ         59      16 0
QSO: 14000 PH 2021-10-09 1949 SM6USS        59      12 K2CD          59      50 0
QSO: 14000 PH 2021-10-09 1951 SM6USS        59      13 KK6BT         59      14 0
QSO: 14000 PH 2021-10-09 1952 SM6USS        59      14 IW0HEI        59      72 0
QSO: 14000 PH 2021-10-09 1954 SM6USS        59      15 N2OMD         59      44 0
QSO: 14000 PH 2021-10-09 1956 SM6USS        59      16 PY2CP         59      29 0
QSO: 14000 PH 2021-10-09 1956 SM6USS        59      17 N4RV          59     118 0
QSO: 14000 PH 2021-10-09 2000 SM6USS        59      18 EA2AOO/P      59     133 0
QSO: 14000 PH 2021-10-09 2002 SM6USS        59      19 VY2GF         59      63 0
QSO: 14000 PH 2021-10-09 2002 SM6USS        59      20 K1AR          59     133 0
QSO: 14000 PH 2021-10-09 2006 SM6USS        59      21 N9NC          59     146 0
QSO: 14000 PH 2021-10-09 2013 SM6USS        59      22 EA5O          59      72 0
QSO: 14000 PH 2021-10-09 2018 SM6USS        59      23 KB1DK         59      55 0
QSO: 14000 PH 2021-10-09 2021 SM6USS        59      24 WA1SCS        59       7 0
QSO: 14000 PH 2021-10-09 2023 SM6USS        59      25 K3FGO         59       5 0
QSO:  7000 PH 2021-10-09 2034 SM6USS        59      26 OM4M          59     127 0
QSO:  7000 PH 2021-10-09 2041 SM6USS        59      27 HB2U          59       5 0
QSO:  7000 PH 2021-10-09 2047 SM6USS        59      28 SP8KM         59      94 0
QSO:  7000 PH 2021-10-09 2048 SM6USS        59      29 EI3ENB        59      85 0
QSO:  7000 PH 2021-10-09 2049 SM6USS        59      30 IU5KZF        59      25 0
QSO:  7000 PH 2021-10-09 2053 SM6USS        59      31 S51CK         59     196 0
QSO:  7000 PH 2021-10-09 2100 SM6USS        59      32 CT2IFE        59      64 0
QSO:  7000 PH 2021-10-09 2104 SM6USS        59      33 GW4BKG        59      93 0
QSO:  7000 PH 2021-10-09 2104 SM6USS        59      34 YP0C          59     238 0
QSO:  7000 PH 2021-10-09 2135 SM6USS        59      35 N9NC          59     163 0
QSO:  7000 PH 2021-10-09 2141 SM6USS        59      36 E73PS         59     206 0
QSO:  3500 PH 2021-10-09 2156 SM6USS        59      37 G4ERW         59     153 0
QSO:  3500 PH 2021-10-09 2157 SM6USS        59      38 LY5XX         59     230 0
QSO:  3500 PH 2021-10-09 2159 SM6USS        59      39 MI5K          59      31 0
QSO:  3500 PH 2021-10-09 2201 SM6USS        59      40 S51CK         59     214 0
QSO:  3500 PH 2021-10-09 2202 SM6USS        59      41 OE5TXF        59     190 0
QSO:  3500 PH 2021-10-09 2204 SM6USS        59      42 LY9A          59     280 0
QSO:  3500 PH 2021-10-09 2221 SM6USS        59      43 G3SWC         59      61 0
QSO:  3500 PH 2021-10-09 2221 SM6USS        59      44 DF4GA         59      20 0
QSO:  3500 PH 2021-10-09 2222 SM6USS        59      45 M7TXR         59      58 0
QSO:  3500 PH 2021-10-09 2225 SM6USS        59      46 DK5WO         59      82 0
QSO:  3500 PH 2021-10-09 2225 SM6USS        59      47 LY5W          59     336 0
QSO:  3500 PH 2021-10-09 2226 SM6USS        59      48 OM6TX         59      36 0
QSO:  3500 PH 2021-10-09 2226 SM6USS        59      49 YL7X          59     311 0
QSO:  3500 PH 2021-10-09 2227 SM6USS        59      50 G9P           59     170 0
QSO:  3500 PH 2021-10-09 2227 SM6USS        59      51 IW1FRU        59     351 0
QSO:  3500 PH 2021-10-09 2228 SM6USS        59      52 OK2MBP        59     195 0
QSO:  3500 PH 2021-10-09 2228 SM6USS        59      53 E73PS         59     220 0
QSO:  3500 PH 2021-10-09 2229 SM6USS        59      54 LZ6E          59     314 0
QSO:  3500 PH 2021-10-09 2229 SM6USS        59      55 DG8WA         59      24 0
QSO:  3500 PH 2021-10-09 2230 SM6USS        59      56 G3R           59     167 0
QSO:  3500 PH 2021-10-09 2231 SM6USS        59      57 EI5JF         59       1 0
QSO:  7000 PH 2021-10-09 2238 SM6USS        59      58 LY5W          59     338 0
END-OF-LOG:
