START-OF-LOG:  3.0
CREATED-BY:    SD by EI5DI
X-VERSION:     SD V17.43  :  SDCHECK V17.43  :  Template QKOS.TPL
CONTEST: EA-MAJESTAD-CW
CALLSIGN:      PA0WKI
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY: SINGLE-OP ALL LOW
CATEGORY-STATION:  FIXED
CATEGORY-POWER:  LOW
CATEGORY-ASSISTED:  NON-ASSISTED
CATEGORY-TRANSMITTER:  ONE
CLAIMED-SCORE: 9174
NAME:          Mensink
OPERATORS:     PA0WKI
X-RADIOS:      ts450sat
X-ANTENNAS:    fd4
SOAPBOX:       nice contest Hope to meet next time more spanisch hams
X-SUMMARY: 
X-SUMMARY:                     160m  80m  40m  20m  15m  10m  Total
X-SUMMARY: 
X-SUMMARY:         Valid QSOs:    0    5   41   42   19    4   111
X-SUMMARY:              Mults:    0    5   26   22   11    4    68
X-SUMMARY: 
X-SUMMARY: 
QSO: 21000 CW 2015-05-16 1303 PA0WKI        599  001   LZ1ND         599 094
QSO: 21000 CW 2015-05-16 1304 PA0WKI        599  002   R7AB          599 113
QSO: 21000 CW 2015-05-16 1307 PA0WKI        599  003   R8LA          599 093
QSO: 21000 CW 2015-05-16 1307 PA0WKI        599  004   RX6AM         599 080
QSO: 21000 CW 2015-05-16 1311 PA0WKI        599  005   RW4WA         599 076
QSO: 14000 CW 2015-05-16 1312 PA0WKI        599  006   LY5W          599 068
QSO: 14000 CW 2015-05-16 1313 PA0WKI        599  007   HG7T          599 127
QSO: 14000 CW 2015-05-16 1315 PA0WKI        599  008   EA3NN         599 T
QSO: 14000 CW 2015-05-16 1317 PA0WKI        599  009   IK0EFR        599 037
QSO: 14000 CW 2015-05-16 1319 PA0WKI        599  010   YU1ED         599 012
QSO: 14000 CW 2015-05-16 1320 PA0WKI        599  011   R7AW          599 121
QSO: 14000 CW 2015-05-16 1321 PA0WKI        599  012   RL4A          599 133
QSO: 14000 CW 2015-05-16 1323 PA0WKI        599  013   IK0YVV        599 006
