START-OF-LOG: 3.0
CALLSIGN: M0ORY
CONTEST: EA-MAJESTAD-CW
CATEGORY: SINGLE-OP ALL QRP
CATEGORY-BAND: ALL
CATEGORY-POWER: 
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 7018
CLUB: RAF WADDINGTON ARC
LOCATION: IO93
GRID-LOCATOR: IO93IB
CREATED-BY: RUMlogNG (5.4.2) by DL2RUM
NAME: Ben Shephard
OPERATORS: M0ORY
SOAPBOX:  First time on King of Spain. Operated from the back seat of my pickup truc
SOAPBOX: k with a Kx3 and a collection of mobile vertical antennas. 
QSO: 21007 CW 2021-05-15 1433 M0ORY         599 001    EF5R          599 A      0
QSO: 21012 CW 2021-05-15 1437 M0ORY         599 002    EF1A          599 C      0
QSO: 21014 CW 2021-05-15 1440 M0ORY         599 003    HA3DX         599 159    0
QSO: 21024 CW 2021-05-15 1449 M0ORY         599 004    S53M          599 33     0
QSO: 21030 CW 2021-05-15 1451 M0ORY         599 005    EA1DAV        599 C      0
QSO: 28024 CW 2021-05-15 1503 M0ORY         599 006    EF0F          599 SMR    0
QSO: 14001 CW 2021-05-15 1515 M0ORY         599 007    YT2RX         599 186    0
QSO: 14002 CW 2021-05-15 1516 M0ORY         599 008    SM2M          599 256    0
QSO: 14003 CW 2021-05-15 1519 M0ORY         599 009    IV3VFR        599 72     0
QSO: 14006 CW 2021-05-15 1523 M0ORY         599 010    UY5VA         599 141    0
QSO: 14007 CW 2021-05-15 1525 M0ORY         599 011    HA7RY         599 92     0
QSO: 14007 CW 2021-05-15 1526 M0ORY         599 012    K2SSS         599 267    0
QSO: 14009 CW 2021-05-15 1536 M0ORY         599 013    DL3UB         599 83     0
QSO: 14010 CW 2021-05-15 1540 M0ORY         599 014    Z35F          599 264    0
QSO: 14011 CW 2021-05-15 1541 M0ORY         599 015    R5WW          599 141    0
QSO: 14012 CW 2021-05-15 1542 M0ORY         599 016    RM5F          599 330    0
QSO: 14012 CW 2021-05-15 1543 M0ORY         599 017    YT7X          599 254    0
QSO: 14014 CW 2021-05-15 1546 M0ORY         599 018    RG2A          599 161    0
QSO: 14015 CW 2021-05-15 1547 M0ORY         599 019    LZ8E          599 325    0
QSO: 14017 CW 2021-05-15 1549 M0ORY         599 020    HA5JI         599 122    0
QSO: 14018 CW 2021-05-15 1550 M0ORY         599 021    YO4DG         599 136    0
QSO: 14022 CW 2021-05-15 1556 M0ORY         599 022    YO4DW         599 159    0
QSO: 14022 CW 2021-05-15 1558 M0ORY         599 023    9A7Z          599 294    0
QSO: 14024 CW 2021-05-15 1605 M0ORY         599 024    RM2D          599 269    0
QSO: 14025 CW 2021-05-15 1606 M0ORY         599 025    YL2KO         599 89     0
QSO: 14025 CW 2021-05-15 1607 M0ORY         599 026    EA2AZ         599 NA     0
QSO: 14027 CW 2021-05-15 1617 M0ORY         599 027    SV1ENG        599 305    0
QSO: 14029 CW 2021-05-15 1618 M0ORY         599 028    S53M          599 155    0
QSO: 14031 CW 2021-05-15 1625 M0ORY         599 029    EA4BAS        599 M      0
QSO: 14031 CW 2021-05-15 1628 M0ORY         599 030    EW1TZ         599 165    0
QSO: 14032 CW 2021-05-15 1633 M0ORY         599 031    N4EEB         599 136    0
QSO: 14039 CW 2021-05-15 1645 M0ORY         599 032    LZ5R          599 680    0
QSO: 14040 CW 2021-05-15 1648 M0ORY         599 033    I5MXX         599 6      0
QSO: 14041 CW 2021-05-15 1650 M0ORY         599 034    K1JB          599 109    0
QSO: 14042 CW 2021-05-15 1654 M0ORY         599 035    EA4GOY        599 TO     0
QSO: 14047 CW 2021-05-15 1657 M0ORY         599 036    EA1WH         599 S      0
QSO: 14049 CW 2021-05-15 1700 M0ORY         599 037    EA3OH         599 GI     0
QSO:  7007 CW 2021-05-15 1712 M0ORY         599 038    SP2HMT        599 217    0
QSO:  7008 CW 2021-05-15 1715 M0ORY         599 039    LY8A          599 234    0
QSO:  7010 CW 2021-05-15 1725 M0ORY         599 040    EA4OR         599 M      0
QSO:  7011 CW 2021-05-15 1727 M0ORY         599 041    SF0A          599 61     0
QSO:  7012 CW 2021-05-15 1732 M0ORY         599 042    M0BEW         599 527    0
QSO:  7013 CW 2021-05-15 1739 M0ORY         599 043    EA4R          599 TO     0
QSO:  7014 CW 2021-05-15 1742 M0ORY         599 044    CT1DRB        599 146    0
QSO:  7017 CW 2021-05-15 1749 M0ORY         599 045    TM6M          599 261    0
QSO:  7018 CW 2021-05-15 1935 M0ORY         599 046    EA1DAV        599 C      0
QSO:  7018 CW 2021-05-15 1944 M0ORY         599 047    G3P           599 286    0
QSO:  7018 CW 2021-05-15 1946 M0ORY         599 048    PA2A          599 369    0
QSO:  7021 CW 2021-05-15 1950 M0ORY         599 049    I2IFT         599 138    0
QSO:  7023 CW 2021-05-15 1953 M0ORY         599 050    EA4M          599 M      0
QSO:  7023 CW 2021-05-15 1955 M0ORY         599 051    OM3RM         599 100    0
QSO:  7026 CW 2021-05-15 2001 M0ORY         599 052    S53EO         599 148    0
QSO:  7027 CW 2021-05-15 2003 M0ORY         599 053    HA8TP         599 92     0
QSO:  7029 CW 2021-05-15 2007 M0ORY         599 054    DL5XJ         599 135    0
QSO:  7029 CW 2021-05-15 2011 M0ORY         599 055    IK8UND        599 232    0
QSO:  7029 CW 2021-05-15 2014 M0ORY         599 056    DD2AW         599 112    0
QSO:  7030 CW 2021-05-15 2017 M0ORY         599 057    SN7F          599 118    0
QSO:  7033 CW 2021-05-15 2029 M0ORY         599 058    I3VJW         599 272    0
QSO:  7034 CW 2021-05-15 2033 M0ORY         599 059    EF1A          599 C      0
QSO: 14004 CW 2021-05-15 2045 M0ORY         599 060    L21F          599 210    0
QSO: 14007 CW 2021-05-15 2047 M0ORY         599 061    VE9CB         599 158    0
QSO: 14010 CW 2021-05-15 2051 M0ORY         599 062    LZ6E          599 486    0
QSO: 14011 CW 2021-05-15 2052 M0ORY         599 063    N8UM          599 67     0
QSO: 14013 CW 2021-05-15 2057 M0ORY         599 064    SP2EWQ        599 286    0
QSO: 14013 CW 2021-05-15 2059 M0ORY         599 065    HG7T          599 74     0
QSO: 14016 CW 2021-05-15 2100 M0ORY         599 066    W1QK          599 128    0
QSO: 14017 CW 2021-05-15 2104 M0ORY         599 067    AB3CX         599 50     0
QSO: 14019 CW 2021-05-15 2106 M0ORY         599 068    OE6MMD        599 186    0
QSO: 14024 CW 2021-05-15 2112 M0ORY         599 069    N2GM          599 88     0
QSO: 14025 CW 2021-05-15 2115 M0ORY         599 070    EA5HRT        599 V      0
QSO: 14029 CW 2021-05-15 2130 M0ORY         599 071    N4BP          599 316    0
QSO:  3545 CW 2021-05-15 2207 M0ORY         599 072    EA6UP         599 IB     0
QSO:  3537 CW 2021-05-15 2214 M0ORY         599 073    OK2HBR        599 123    0
QSO:  3535 CW 2021-05-15 2221 M0ORY         599 074    9A3B          599 248    0
QSO:  3534 CW 2021-05-15 2223 M0ORY         599 075    OL6D          599 171    0
QSO:  3531 CW 2021-05-15 2234 M0ORY         599 076    DD2AW         599 203    0
