START-OF-LOG: 3.0
CATEGORY: Single-OP low
CONTEST: WAE SSB
CREATED-BY: DXLog.net v2.5.38, modified by DXHF upload.
CALLSIGN: 9A/E70AW
CLAIMED-SCORE: 3726
QSO: 21000 PH 2022-09-10 1035 9A/E70AW      59  001    PT5J          59  331
QSO: 21000 PH 2022-09-10 1037 9A/E70AW      59  002    RM9I          59  346
QSO: 21000 PH 2022-09-10 1039 9A/E70AW      59  003    PV2K          59  2821
QSO: 14000 PH 2022-09-10 1047 9A/E70AW      59  004    VY2ZM         59  327
QSO: 14000 PH 2022-09-10 1049 9A/E70AW      59  005    K1LZ          59  407
QSO: 14000 PH 2022-09-10 1052 9A/E70AW      59  006    4X0T          59  513
QSO: 28000 PH 2022-09-10 1054 9A/E70AW      59  007    FR4KR         59  375
QSO: 28000 PH 2022-09-10 1056 9A/E70AW      59  008    PV2K          59  309
QSO: 21000 PH 2022-09-11 1013 9A/E70AW      59  009    4L2M          59  1454
QSO: 21000 PH 2022-09-11 1014 9A/E70AW      59  010    CT9ABN        59  1239
QSO: 21000 PH 2022-09-11 1023 9A/E70AW      59  011    UF0B          59  276
QSO: 28000 PH 2022-09-11 1038 9A/E70AW      59  012    ZD7BG         59  261
QSO: 28000 PH 2022-09-11 1043 9A/E70AW      59  013    5B4AIF        59  1872
QSO: 21000 PH 2022-09-11 1850 9A/E70AW      59  014    W1GD          59  182
QSO: 21000 PH 2022-09-11 1852 9A/E70AW      59  015    W3LL          59  976
QSO: 21000 PH 2022-09-11 1901 9A/E70AW      59  016    K1LZ          59  1870
QSO: 21000 PH 2022-09-11 1921 9A/E70AW      59  017    PY4JW         59  133
QSO: 14000 PH 2022-09-11 1933 9A/E70AW      59  018    N3QE          59  346
QSO: 14000 PH 2022-09-11 1934 9A/E70AW      59  019    NE1C          59  892
QSO: 21000 PH 2022-09-11 2004 9A/E70AW      59  020    TI1T          59  486
QSO: 14000 PH 2022-09-11 2008 9A/E70AW      59  021    KU2M          59  448
QSO: 14000 PH 2022-09-11 2014 9A/E70AW      59  022    VE3AT         59  1457
QSO: 14000 PH 2022-09-11 2018 9A/E70AW      59  023    K1AR          59  255
QSO: 14000 PH 2022-09-11 2021 9A/E70AW      59  024    K3IE          59  153
QSO: 14000 PH 2022-09-11 2022 9A/E70AW      59  025    CT9ABN        59  1699
QTC: 14000 PH  2022-09-11 2029 9A/E70AW      034/10     W3KL          1616 DL5RDQ        222
QTC: 14000 PH  2022-09-11 2029 9A/E70AW      034/10     W3KL          1611 9A22Y         785
QTC: 14000 PH  2022-09-11 2029 9A/E70AW      034/10     W3KL          1614 DL9RAZ        018
QTC: 14000 PH  2022-09-11 2029 9A/E70AW      034/10     W3KL          1614 DK0RA         020
QTC: 14000 PH  2022-09-11 2029 9A/E70AW      034/10     W3KL          1820 M0XLT         023
QTC: 14000 PH  2022-09-11 2029 9A/E70AW      034/10     W3KL          1823 DL2SWR        149
QTC: 14000 PH  2022-09-11 2029 9A/E70AW      034/10     W3KL          1827 DL9DX         094
QTC: 14000 PH  2022-09-11 2029 9A/E70AW      034/10     W3KL          1828 9A5Y          400
QTC: 14000 PH  2022-09-11 2029 9A/E70AW      034/10     W3KL          1830 DD5VL         061
QTC: 14000 PH  2022-09-11 2029 9A/E70AW      034/10     W3KL          1831 DH1PS         061
QSO: 14000 PH 2022-09-11 2029 9A/E70AW      59  026    W3KL          59  410
QTC: 14000 PH  2022-09-11 2037 9A/E70AW      034/10     WA2DNI        2004 LZ1ZM         120
QTC: 14000 PH  2022-09-11 2037 9A/E70AW      034/10     WA2DNI        2011 PG1R          050
QTC: 14000 PH  2022-09-11 2037 9A/E70AW      034/10     WA2DNI        2011 G4PFE         053
QTC: 14000 PH  2022-09-11 2037 9A/E70AW      034/10     WA2DNI        2015 PD2JAM        060
QTC: 14000 PH  2022-09-11 2037 9A/E70AW      034/10     WA2DNI        2015 LZ1JZ         042
QTC: 14000 PH  2022-09-11 2037 9A/E70AW      034/10     WA2DNI        2016 DJ9HX         263
QTC: 14000 PH  2022-09-11 2037 9A/E70AW      034/10     WA2DNI        2016 DK6FX         096
QTC: 14000 PH  2022-09-11 2037 9A/E70AW      034/10     WA2DNI        2018 DK4KH         077
QTC: 14000 PH  2022-09-11 2037 9A/E70AW      034/10     WA2DNI        2019 DL8QS         070
QTC: 14000 PH  2022-09-11 2037 9A/E70AW      034/10     WA2DNI        2020 HA3OU         167
QSO: 14000 PH 2022-09-11 2037 9A/E70AW      59  027    WA2DNI        59  326
QSO: 14000 PH 2022-09-11 2040 9A/E70AW      59  028    W3LL          59  1044
QTC: 14000 PH  2022-09-11 2048 9A/E70AW      057/9      WS9M          2027 DL2FQ         197
QTC: 14000 PH  2022-09-11 2048 9A/E70AW      057/9      WS9M          2031 DK4FZ         208
QTC: 14000 PH  2022-09-11 2048 9A/E70AW      057/9      WS9M          2031 IX1HPN        058
QTC: 14000 PH  2022-09-11 2048 9A/E70AW      057/9      WS9M          2032 DL6USA        081
QTC: 14000 PH  2022-09-11 2048 9A/E70AW      057/9      WS9M          2033 DD5AJ         058
QTC: 14000 PH  2022-09-11 2048 9A/E70AW      057/9      WS9M          2034 OK1OA         152
QTC: 14000 PH  2022-09-11 2048 9A/E70AW      057/9      WS9M          2040 DD1OP         029
QTC: 14000 PH  2022-09-11 2048 9A/E70AW      057/9      WS9M          2043 S52TW         002
QTC: 14000 PH  2022-09-11 2048 9A/E70AW      057/9      WS9M          2044 DJ5LB         065
QSO: 14000 PH 2022-09-11 2048 9A/E70AW      59  029    WS9M          59  282
QSO: 14000 PH 2022-09-11 2111 9A/E70AW      59  030    VA6DJ         59  050
QSO: 14000 PH 2022-09-11 2112 9A/E70AW      59  031    KG9N          59  074
QTC: 14000 PH  2022-09-11 2131 9A/E70AW      217/10     K1LZ          2043 GM1DSK        015
QTC: 14000 PH  2022-09-11 2131 9A/E70AW      217/10     K1LZ          2045 IV3HQM        002
QTC: 14000 PH  2022-09-11 2131 9A/E70AW      217/10     K1LZ          2045 OE3CBE        032
QTC: 14000 PH  2022-09-11 2131 9A/E70AW      217/10     K1LZ          2047 DJ5LB         066
QTC: 14000 PH  2022-09-11 2131 9A/E70AW      217/10     K1LZ          2047 DL8UI         022
QTC: 14000 PH  2022-09-11 2131 9A/E70AW      217/10     K1LZ          2049 DK3MT         005
QTC: 14000 PH  2022-09-11 2131 9A/E70AW      217/10     K1LZ          2053 DL8ZAJ        030
QTC: 14000 PH  2022-09-11 2131 9A/E70AW      217/10     K1LZ          2054 LC1R          002
QTC: 14000 PH  2022-09-11 2131 9A/E70AW      217/10     K1LZ          2102 OE6MBG        382
QTC: 14000 PH  2022-09-11 2131 9A/E70AW      217/10     K1LZ          2105 ED3T          074
QSO: 14000 PH 2022-09-11 2133 9A/E70AW      59  032    WX3B          59  309
QTC: 14000 PH  2022-09-12 1924 9A/E70AW      166/10     VE3AT         1933 F4ETK         012
QTC: 14000 PH  2022-09-12 1924 9A/E70AW      166/10     VE3AT         1935 IU5PTS        018
QTC: 14000 PH  2022-09-12 1924 9A/E70AW      166/10     VE3AT         1935 M0EUK         012
QTC: 14000 PH  2022-09-12 1924 9A/E70AW      166/10     VE3AT         1937 EA2EZE        001
QTC: 14000 PH  2022-09-12 1924 9A/E70AW      166/10     VE3AT         1937 DL4OCF        027
QTC: 14000 PH  2022-09-12 1924 9A/E70AW      166/10     VE3AT         1941 EI6JK         054
QTC: 14000 PH  2022-09-12 1924 9A/E70AW      166/10     VE3AT         1947 IK2QEI        026
QTC: 14000 PH  2022-09-12 1924 9A/E70AW      166/10     VE3AT         1947 DL5ZA         125
QTC: 14000 PH  2022-09-12 1924 9A/E70AW      166/10     VE3AT         1948 DF8LY         041
QTC: 14000 PH  2022-09-12 1924 9A/E70AW      166/10     VE3AT         1949 DF4ZL         079
END-OF-LOG:
