START-OF-LOG: 3.0
CONTEST: WW-DIGI
CALLSIGN: BI4KYT
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
GRID-LOCATOR: OM86
CLAIMED-SCORE: 0
NAME: JUNCHANGWANG
OPERATORS: BI4KYT
CLUB: HARC
CREATED-BY: N1MM Logger+ 1.0.10715.0
QSO:   21091 DG 2025-08-30 1201 BI4KYT           OM86   JH4XSY/P         PM95    
QSO:   21091 DG 2025-08-30 1203 BI4KYT           OM86   DR1X             JO41    
QSO:   21091 DG 2025-08-30 1203 BI4KYT           OM86   DR1X             JO41    
QSO:   21091 DG 2025-08-30 1204 BI4KYT           OM86   JA6CVR           PM53    
QSO:   21091 DG 2025-08-30 1204 BI4KYT           OM86   JA6CVR           PM53    
QSO:   21091 DG 2025-08-30 1210 BI4KYT           OM86   IZ5ILK           JN63    
QSO:   21091 DG 2025-08-30 1210 BI4KYT           OM86   IZ5ILK           JN63    
QSO:   21091 DG 2025-08-30 1215 BI4KYT           OM86   HS0ZOY           OK14    
QSO:   21091 DG 2025-08-30 1215 BI4KYT           OM86   HS0ZOY           OK14    
QSO:   21091 DG 2025-08-30 1218 BI4KYT           OM86   YD4FYI           OI16    
QSO:   21091 DG 2025-08-30 1218 BI4KYT           OM86   YD4FYI           OI16    
QSO:   21091 DG 2025-08-30 1219 BI4KYT           OM86   JF3PRS           PM74    
QSO:   21091 DG 2025-08-30 1219 BI4KYT           OM86   JF3PRS           PM74    
QSO:   21091 DG 2025-08-30 1223 BI4KYT           OM86   RN4SN            LO36    
QSO:   21091 DG 2025-08-30 1223 BI4KYT           OM86   RN4SN            LO36    
QSO:   21091 DG 2025-08-30 1224 BI4KYT           OM86   RW0SR            OO22    
QSO:   21091 DG 2025-08-30 1224 BI4KYT           OM86   RW0SR            OO22    
QSO:   21091 DG 2025-08-30 1226 BI4KYT           OM86   UT2UB            KO50    
QSO:   21091 DG 2025-08-30 1226 BI4KYT           OM86   UT2UB            KO50    
QSO:   21091 DG 2025-08-30 1230 BI4KYT           OM86   UX7QV            KN29    
QSO:   21091 DG 2025-08-30 1230 BI4KYT           OM86   UX7QV            KN29    
QSO:   21091 DG 2025-08-30 1231 BI4KYT           OM86   N3QE             FM19    
QSO:   21091 DG 2025-08-30 1231 BI4KYT           OM86   N3QE             FM19    
QSO:   21091 DG 2025-08-30 1233 BI4KYT           OM86   DO1EDK           JO31    
QSO:   21091 DG 2025-08-30 1233 BI4KYT           OM86   DO1EDK           JO31    
QSO:   21091 DG 2025-08-30 1235 BI4KYT           OM86   OH4NDU           KP11    
QSO:   21091 DG 2025-08-30 1235 BI4KYT           OM86   OH4NDU           KP11    
QSO:   21091 DG 2025-08-30 1238 BI4KYT           OM86   UB8CCG           MO06    
QSO:   21091 DG 2025-08-30 1238 BI4KYT           OM86   UB8CCG           MO06    
QSO:   21091 DG 2025-08-30 1243 BI4KYT           OM86   AA3B             FN20    
QSO:   21091 DG 2025-08-30 1243 BI4KYT           OM86   AA3B             FN20    
QSO:   21091 DG 2025-08-30 1244 BI4KYT           OM86   OH4NDU           KP11    
QSO:   21091 DG 2025-08-30 1244 BI4KYT           OM86   OH4NDU           KP11    
QSO:   21091 DG 2025-08-30 1245 BI4KYT           OM86   UR6QS            KN77    
QSO:   21091 DG 2025-08-30 1245 BI4KYT           OM86   UR6QS            KN77    
QSO:   21091 DG 2025-08-30 1247 BI4KYT           OM86   YL3ARZ           KO16    
QSO:   21091 DG 2025-08-30 1247 BI4KYT           OM86   YL3ARZ           KO16    
QSO:   21091 DG 2025-08-30 1248 BI4KYT           OM86   IZ3GOM           JN56    
QSO:   21091 DG 2025-08-30 1248 BI4KYT           OM86   IZ3GOM           JN56    
QSO:   21091 DG 2025-08-30 1250 BI4KYT           OM86   ON8BB            JO21    
QSO:   21091 DG 2025-08-30 1250 BI4KYT           OM86   ON8BB            JO21    
QSO:   21091 DG 2025-08-30 1252 BI4KYT           OM86   YC9BPW           OI71    
QSO:   21091 DG 2025-08-30 1252 BI4KYT           OM86   YC9BPW           OI71    
QSO:   21091 DG 2025-08-30 1253 BI4KYT           OM86   BG6QBV           OM70    
QSO:   21091 DG 2025-08-30 1253 BI4KYT           OM86   BG6QBV           OM70    
QSO:   21091 DG 2025-08-30 1254 BI4KYT           OM86   YF2AVP           OI53    
QSO:   21091 DG 2025-08-30 1254 BI4KYT           OM86   YF2AVP           OI53    
QSO:   21091 DG 2025-08-30 1259 BI4KYT           OM86   LZ3SD            KN22    
QSO:   21091 DG 2025-08-30 1259 BI4KYT           OM86   LZ3SD            KN22    
QSO:   21091 DG 2025-08-30 1300 BI4KYT           OM86   SE4E             JP70    
QSO:   21091 DG 2025-08-30 1300 BI4KYT           OM86   SE4E             JP70    
QSO:   21091 DG 2025-08-30 1301 BI4KYT           OM86   YO3AK            KN25    
QSO:   21091 DG 2025-08-30 1301 BI4KYT           OM86   YO3AK            KN25    
